Date,Price,volume,open_price,Year,USDZAR Curncy,W 1 Comdty,W 2 Comdty,WZ1 Comdty,YW1 Comdty,year_month,max_temp,precipitation,avg_temp,min_temp,active_flag,day
2021-11-25,6202,1375.0,6260.0,2021,15.9718,,,3420.0,3651.0,202111,76.6328,2.5066665,65.23115,53.81635,0,Thursday
2021-12-02,6095,996.0,6004.0,2021,15.9359,806.5,815.0,3357.0,3629.0,202112,77.15780000000001,4.7183335,67.3675,57.5648,0,Thursday
2021-12-09,6091,1330.0,6080.0,2021,15.9394,773.5,776.75,3501.0,3830.0,202112,77.15780000000001,4.7183335,67.3675,57.5648,0,Thursday
2022-05-05,6990,194.0,6900.0,2022,15.9894,1096.0,1106.5,4469.0,4586.0,202205,69.66535,1.1691669999999998,57.468,45.2586,0,Thursday
2022-05-12,7471,380.0,7380.0,2022,16.0909,1174.5,1178.75,4560.0,4714.0,202205,69.66535,1.1691669999999998,57.468,45.2586,0,Thursday
2022-05-19,7780,188.0,7870.0,2022,15.8272,1200.5,1206.0,4576.0,4700.0,202205,69.66535,1.1691669999999998,57.468,45.2586,0,Thursday
2022-05-26,7554,225.0,7561.0,2022,15.7071,1143.25,1152.0,4562.0,4650.0,202205,69.66535,1.1691669999999998,57.468,45.2586,0,Thursday
2022-06-02,7150,318.0,7100.0,2022,15.4666,1058.25,1069.75,4428.0,4486.0,202206,66.8395,1.7883334999999998,54.0136,41.17085,0,Thursday
2022-06-09,7200,187.0,7165.0,2022,15.512,1071.25,1084.75,4382.0,4480.0,202206,66.8395,1.7883334999999998,54.0136,41.17085,0,Thursday
2022-06-23,7229,820.0,7284.0,2022,15.9618,937.25,949.25,4306.0,4370.0,202206,66.8395,1.7883334999999998,54.0136,41.17085,0,Thursday
2022-06-30,7040,834.0,6930.0,2022,16.2782,868.75,884.0,4359.0,4340.0,202206,66.8395,1.7883334999999998,54.0136,41.17085,0,Thursday
2022-07-07,7130,606.0,7150.0,2022,16.7205,824.5,836.5,4284.0,4244.0,202207,66.0978,0.5466664999999999,53.55325,40.99355,0,Thursday
2022-07-14,7195,300.0,7270.0,2022,17.1597,794.25,795.0,4343.0,4267.0,202207,66.0978,0.5466664999999999,53.55325,40.99355,0,Thursday
2022-07-21,7111,93.0,7082.0,2022,17.0555,806.25,821.75,4303.0,4158.0,202207,66.0978,0.5466664999999999,53.55325,40.99355,0,Thursday
